ts,t_ethan,t_office,outdoor,humidity,target,band_low,band_high,setpoint,mode,fan,turbo,ac_running,applied,indoor_hum,central_cool,t_living,t_heather,error
1782769309,82.6,72.5,92.0,49.0,71.65833333333333,69.0,74.0,60.0,cool,max,1,1,1,65.0,1,70.0,73.1,
1782770331,78.7,72.5,91.7,49.0,71.51666666666667,69.0,74.0,60.0,cool,max,1,1,1,65.0,1,69.8,72.9,
1782772323,78.8,72.5,91.2,51.0,71.23333333333333,69.0,74.0,60.0,cool,max,1,1,1,66.0,1,69.8,73.3,
1782774575,78.2,72.5,91.1,51.0,70.925,69.0,74.0,60.0,cool,max,1,1,1,64.0,0,69.6,72.9,
1782776308,78.5,72.5,89.4,52.0,70.68333333333334,69.0,74.0,60.0,cool,max,1,1,1,64.0,1,69.8,73.2,
1782778259,82.4,71.6,88.2,59.0,70.41666666666667,69.0,74.0,60.0,cool,max,1,1,1,65.0,1,69.4,73.7,
1782782384,78.0,67.1,84.7,66.0,70.0,69.0,71.0,60.0,cool,max,1,1,1,64.0,1,70.0,73.3,
1782786342,78.3,64.4,82.5,60.0,70.0,69.0,71.0,60.0,cool,max,1,1,1,57.0,1,69.2,73.5,
1782791385,76.5,69.8,79.7,82.0,70.0,69.0,71.0,60.0,cool,max,1,1,1,54.0,1,68.3,72.2,
1782797557,73.5,63.5,77.3,84.0,70.0,69.0,71.0,60.0,cool,max,1,1,1,53.0,1,66.9,70.7,
1782803063,71.5,61.7,75.7,93.0,70.0,69.0,71.0,60.0,cool,medium,0,1,1,51.0,1,65.3,69.3,
1782808059,71.3,63.5,74.4,93.0,70.0,69.0,71.0,60.0,cool,medium,0,1,1,56.0,1,65.4,69.2,
1782813125,70.9,62.6,73.0,84.0,70.0,69.0,71.0,62.0,cool,medium,0,1,1,57.0,1,65.5,68.9,
1782817792,72.1,62.6,73.5,91.0,70.0,69.0,71.0,60.0,cool,high,0,1,1,62.0,0,68.0,70.3,
